scenario_id,container_id,size,teu,length,width,height,empty_weight,total_weight,cargo_weight,weight_category,cargo_type,loading_priority,destination
1,S001C0001,40ft,2,12.03,2.44,2.59,3.75,9.54,5.79,light,general,1,PORT_B
1,S001C0002,40ft,2,12.03,2.44,2.59,3.75,20.11,16.36,medium,hazmat,5,PORT_B
1,S001C0003,20ft,1,6.06,2.44,2.59,2.3,4.86,2.56,light,general,2,PORT_B
1,S001C0004,20ft,1,6.06,2.44,2.59,2.3,14.79,12.49,medium,general,5,PORT_B
1,S001C0005,20ft,1,6.06,2.44,2.59,2.3,7.84,5.54,light,general,1,PORT_B
1,S001C0006,40ft,2,12.03,2.44,2.59,3.75,21.34,17.59,medium,general,3,PORT_B
1,S001C0007,20ft,1,6.06,2.44,2.59,2.3,10.04,7.74,light,general,3,PORT_B
1,S001C0008,20ft,1,6.06,2.44,2.59,2.3,4.88,2.58,light,reefer,3,PORT_B
1,S001C0009,40ft,2,12.03,2.44,2.59,3.75,8.1,4.35,light,general,4,PORT_B
1,S001C0010,20ft,1,6.06,2.44,2.59,2.3,9.83,7.53,light,general,1,PORT_B
1,S001C0011,40ft,2,12.03,2.44,2.59,3.75,12.78,9.03,light,general,3,PORT_B
1,S001C0012,40ft,2,12.03,2.44,2.59,3.75,8.31,4.56,light,hazmat,2,PORT_B
1,S001C0013,40ft,2,12.03,2.44,2.59,3.75,8.39,4.64,light,reefer,2,PORT_B
1,S001C0014,20ft,1,6.06,2.44,2.59,2.3,7.02,4.72,light,general,3,PORT_B
1,S001C0015,20ft,1,6.06,2.44,2.59,2.3,5.56,3.26,light,general,3,PORT_B
1,S001C0016,40ft,2,12.03,2.44,2.59,3.75,27.8,24.05,heavy,general,5,PORT_B
1,S001C0017,40ft,2,12.03,2.44,2.59,3.75,13.58,9.83,light,general,2,PORT_B
1,S001C0018,20ft,1,6.06,2.44,2.59,2.3,10.24,7.94,light,general,5,PORT_B
1,S001C0019,20ft,1,6.06,2.44,2.59,2.3,17.04,14.74,medium,general,1,PORT_B
1,S001C0020,20ft,1,6.06,2.44,2.59,2.3,16.74,14.44,medium,general,4,PORT_B
1,S001C0021,20ft,1,6.06,2.44,2.59,2.3,9.78,7.48,light,general,5,PORT_B
1,S001C0022,40ft,2,12.03,2.44,2.59,3.75,12.99,9.24,light,general,4,PORT_B
1,S001C0023,40ft,2,12.03,2.44,2.59,3.75,17.87,14.12,medium,general,2,PORT_B
1,S001C0024,40ft,2,12.03,2.44,2.59,3.75,17.85,14.1,medium,general,5,PORT_B
1,S001C0025,20ft,1,6.06,2.44,2.59,2.3,20.58,18.28,heavy,general,2,PORT_B
1,S001C0026,20ft,1,6.06,2.44,2.59,2.3,11.03,8.73,medium,reefer,1,PORT_B
1,S001C0027,20ft,1,6.06,2.44,2.59,2.3,5.26,2.96,light,general,4,PORT_B
1,S001C0028,40ft,2,12.03,2.44,2.59,3.75,10.8,7.05,light,general,4,PORT_B
1,S001C0029,20ft,1,6.06,2.44,2.59,2.3,7.62,5.32,light,general,1,PORT_B
1,S001C0030,40ft,2,12.03,2.44,2.59,3.75,21.2,17.45,medium,general,5,PORT_B
1,S001C0031,40ft,2,12.03,2.44,2.59,3.75,12.88,9.13,light,general,1,PORT_B
1,S001C0032,20ft,1,6.06,2.44,2.59,2.3,13.93,11.63,medium,general,3,PORT_B
1,S001C0033,20ft,1,6.06,2.44,2.59,2.3,14.36,12.06,medium,general,1,PORT_B
1,S001C0034,40ft,2,12.03,2.44,2.59,3.75,12.86,9.11,light,hazmat,5,PORT_B
1,S001C0035,20ft,1,6.06,2.44,2.59,2.3,8.88,6.58,light,hazmat,5,PORT_B
1,S001C0036,40ft,2,12.03,2.44,2.59,3.75,29.49,25.74,heavy,reefer,5,PORT_B
1,S001C0037,20ft,1,6.06,2.44,2.59,2.3,11.19,8.89,medium,general,3,PORT_B
1,S001C0038,20ft,1,6.06,2.44,2.59,2.3,5.75,3.45,light,general,5,PORT_B
1,S001C0039,20ft,1,6.06,2.44,2.59,2.3,7.22,4.92,light,general,1,PORT_B
1,S001C0040,40ft,2,12.03,2.44,2.59,3.75,16.76,13.01,medium,general,4,PORT_B
1,S001C0041,40ft,2,12.03,2.44,2.59,3.75,11.97,8.22,light,general,5,PORT_B
1,S001C0042,20ft,1,6.06,2.44,2.59,2.3,23.59,21.29,heavy,general,2,PORT_B
1,S001C0043,40ft,2,12.03,2.44,2.59,3.75,15.71,11.96,light,general,3,PORT_B
1,S001C0044,20ft,1,6.06,2.44,2.59,2.3,20.87,18.57,heavy,hazmat,2,PORT_B
1,S001C0045,20ft,1,6.06,2.44,2.59,2.3,4.43,2.13,light,general,5,PORT_B
1,S001C0046,20ft,1,6.06,2.44,2.59,2.3,10.36,8.06,medium,general,1,PORT_B
1,S001C0047,20ft,1,6.06,2.44,2.59,2.3,4.49,2.19,light,general,3,PORT_B
1,S001C0048,20ft,1,6.06,2.44,2.59,2.3,12.53,10.23,medium,general,4,PORT_B
1,S001C0049,20ft,1,6.06,2.44,2.59,2.3,16.09,13.79,medium,general,5,PORT_B
1,S001C0050,40ft,2,12.03,2.44,2.59,3.75,22.03,18.28,medium,general,4,PORT_B
1,S001C0051,20ft,1,6.06,2.44,2.59,2.3,8.25,5.95,light,hazmat,3,PORT_B
1,S001C0052,20ft,1,6.06,2.44,2.59,2.3,17.21,14.91,medium,reefer,1,PORT_B
1,S001C0053,40ft,2,12.03,2.44,2.59,3.75,20.92,17.17,medium,hazmat,1,PORT_B
1,S001C0054,20ft,1,6.06,2.44,2.59,2.3,16.7,14.4,medium,reefer,1,PORT_B
1,S001C0055,20ft,1,6.06,2.44,2.59,2.3,7.52,5.22,light,general,2,PORT_B
1,S001C0056,20ft,1,6.06,2.44,2.59,2.3,7.08,4.78,light,hazmat,1,PORT_B
1,S001C0057,20ft,1,6.06,2.44,2.59,2.3,17.15,14.85,medium,general,1,PORT_B
1,S001C0058,20ft,1,6.06,2.44,2.59,2.3,14.62,12.32,medium,general,1,PORT_B
1,S001C0059,20ft,1,6.06,2.44,2.59,2.3,23.14,20.84,heavy,general,2,PORT_B
1,S001C0060,20ft,1,6.06,2.44,2.59,2.3,12.01,9.71,medium,general,4,PORT_B
1,S001C0061,20ft,1,6.06,2.44,2.59,2.3,4.31,2.01,light,general,4,PORT_B
1,S001C0062,20ft,1,6.06,2.44,2.59,2.3,22.78,20.48,heavy,general,3,PORT_B
1,S001C0063,20ft,1,6.06,2.44,2.59,2.3,16.14,13.84,medium,reefer,5,PORT_B
1,S001C0064,40ft,2,12.03,2.44,2.59,3.75,16.99,13.24,medium,general,3,PORT_B
1,S001C0065,20ft,1,6.06,2.44,2.59,2.3,21.6,19.3,heavy,general,5,PORT_B
1,S001C0066,20ft,1,6.06,2.44,2.59,2.3,10.76,8.46,medium,general,5,PORT_B
1,S001C0067,20ft,1,6.06,2.44,2.59,2.3,17.12,14.82,medium,general,2,PORT_B
1,S001C0068,20ft,1,6.06,2.44,2.59,2.3,18.76,16.46,heavy,reefer,2,PORT_B
1,S001C0069,20ft,1,6.06,2.44,2.59,2.3,15.7,13.4,medium,general,2,PORT_B
